,Rooms,Furnishing,Bathroom,Availability,Carpet Area,Floor,Price,Location
0,1,Furnished,1,Immediately,584.0,4,18000.0,"Wagholi, "
1,2,Furnished,2,Immediately,825.0,6,20000.0,"Manjri, Manjri Budruk, "
2,2,Furnished,2,From Apr '25,900.0,5,30000.0,"Adarsh Colony Tingre Nagar, "
3,2,Unfurnished,2,Immediately,800.0,5,28000.0,"Wagholi, "
4,2,Furnished,1,Immediately,825.0,1,25000.0,"Aundh, "
5,2,Semi-Furnished,2,Immediately,825.0,6,25000.0,"Wakad, "
6,3,Furnished,3,Immediately,1100.0,4,230000.0,"Prabhat Road, "
7,1,Furnished,1,Immediately,550.0,2,10000.0,"Model Colony, Shivaji Nagar, "
8,1,Unfurnished,1,From Mar '25,825.0,1,15000.0,
9,4,Unfurnished,4,Immediately,1825.0,3,160000.0,"Prabhat Road, "
10,3,Semi-Furnished,2,Immediately,950.0,5,17000.0,"Marunji, Hinjawadi, "
11,2,Furnished,2,Immediately,900.0,5,45000.0,"Koregaon Park, "
12,1,Semi-Furnished,1,Immediately,825.0,7,21000.0,"Wakad, "
13,3,Unfurnished,2,Immediately,1560.0,13,62000.0,"Balewadi, "
14,1,Unfurnished,2,Immediately,495.0,7,21000.0,"Ram Nagar Tathawade, "
15,2,Unfurnished,2,Immediately,825.0,8,12000.0,"Marunji, Hinjawadi, "
16,1,Semi-Furnished,1,Immediately,600.0,3,19000.0,"Pimple Saudagar, Pimpri Chinchwad, "
17,1,Unfurnished,1,Immediately,535.0,0,15500.0,"Pashan, "
18,1,Semi-Furnished,1,Immediately,825.0,2,8500.0,"Kothrud, "
19,2,Unfurnished,2,Immediately,700.0,13,21000.0,"Punawale, Pimpri Chinchwad, "
20,3,Furnished,2,Immediately,536.0,1,10000.0,"Gahunje, "
21,2,Unfurnished,2,Immediately,825.0,6,27000.0,"Wakad, "
22,2,Unfurnished,2,Immediately,603.0,6,15000.0,"Chikhali Pimpri Chinchwad, "
23,1,Unfurnished,1,Immediately,500.0,10,12500.0,"Loni Kalbhor, "
24,1,Semi-Furnished,1,Immediately,450.0,3,18500.0,"Kothrud, "
25,2,Semi-Furnished,2,Immediately,700.0,19,37000.0,"Wakad, "
26,3,Furnished,3,Immediately,1500.0,4,45000.0,"Pimpri Chinchwad, "
27,2,Unfurnished,2,Immediately,1086.0,2,45000.0,"Wadgaon Sheri, "
28,2,Unfurnished,2,Immediately,900.0,11,32000.0,"Wakadewadi, Shivaji Nagar, "
29,2,Unfurnished,2,Immediately,825.0,4,13500.0,"Ambegaon, "
30,2,Unfurnished,2,Immediately,830.0,12,32000.0,"NIBM Road, "
31,0,Unfurnished,1,Immediately,825.0,3,15000.0,"Studio Apartment for Rent in Karvenagar, "
32,2,Furnished,2,Immediately,825.0,0,7000.0,"Shewalewadi, "
33,3,Semi-Furnished,2,Immediately,950.0,5,35000.0,"Balewadi, "
34,2,Unfurnished,2,Immediately,750.0,9,29000.0,"Hinjawadi, "
35,1,Semi-Furnished,1,Immediately,458.0,5,22000.0,"Hinjawadi, "
36,1,Unfurnished,1,Immediately,825.0,3,8000.0,"Narhe, "
37,2,Semi-Furnished,2,Immediately,900.0,9,30000.0,"Kaspate Wasti, "
38,3,Unfurnished,3,Immediately,1300.0,4,50000.0,"Koregaon Park, "
39,1,Unfurnished,1,Immediately,825.0,0,12000.0,"Pimpri Chinchwad, "
40,2,Semi-Furnished,2,Immediately,800.0,0,23000.0,"Punvale Bazar, "
41,3,Unfurnished,2,Immediately,1100.0,9,35000.0,"Pashan, "
42,2,Unfurnished,2,Immediately,850.0,3,28000.0,"Rambaug Colony, Kothrud, "
43,3,Unfurnished,2,Immediately,900.0,4,26000.0,"Dhanori, "
44,3,Furnished,3,Immediately,1450.0,5,70000.0,"Koregaon Park, "
45,3,Unfurnished,3,Immediately,1210.0,9,35000.0,"Nigdi, Pimpri Chinchwad, "
46,1,Semi-Furnished,1,Immediately,825.0,14,11000.0,"Kondhwa, "
47,2,Unfurnished,2,Immediately,820.0,4,20000.0,"Bharati Vidyapeeth Campus, "
48,2,Semi-Furnished,2,Immediately,825.0,2,45000.0,"Kharadi, "
49,2,Unfurnished,2,Immediately,800.0,5,23000.0,"Bavdhan, "
50,3,Unfurnished,3,Immediately,1250.0,9,55000.0,"Hadapsar, "
51,3,Unfurnished,3,Immediately,1030.0,7,27000.0,"Kiwale, Dehu Road, "
52,4,Unfurnished,3,Immediately,1600.0,6,38000.0,"Kiwale, Dehu Road, "
53,2,Furnished,2,Immediately,766.0,12,32000.0,"Choudhary Park Shankar Kalat Nagar, "
54,3,Semi-Furnished,3,Immediately,985.0,9,26000.0,"Charholi BK, "
55,2,Semi-Furnished,2,Immediately,732.0,9,21000.0,"Punawale, Pimpri Chinchwad, "
56,1,Furnished,1,Immediately,650.0,2,16000.0,"Bibwewadi, "
57,2,Furnished,2,Immediately,1100.0,3,40000.0,"Bhosale Nagar, "
58,2,Semi-Furnished,2,Immediately,850.0,4,34000.0,"EON Free Zone, Kharadi, "
59,2,Furnished,2,Immediately,950.0,5,36000.0,"Aundh, "
60,4,Furnished,4,Immediately,3500.0,20,250000.0,"Kharadi, "
61,1,Furnished,2,Immediately,730.0,6,22000.0,
62,2,Furnished,2,Immediately,840.0,4,35000.0,"Hadapsar, "
63,1,Unfurnished,1,Immediately,380.0,4,15500.0,
64,3,Semi-Furnished,3,Immediately,1000.0,2,26000.0,"Sus, "
65,4,Semi-Furnished,4,Immediately,3500.0,4,100000.0,"Hadapsar, "
66,4,Furnished,4,Immediately,825.0,4,90000.0,"Mohamadwadi Settlement, "
67,2,Semi-Furnished,2,Immediately,825.0,0,20000.0,"Moshi, "
68,2,Furnished,2,Immediately,825.0,7,21000.0,"Undri, "
69,2,Semi-Furnished,2,Immediately,950.0,3,28000.0,"Aundh, "
70,2,Semi-Furnished,2,Immediately,825.0,10,50000.0,"Kharadi, "
71,2,Unfurnished,2,Immediately,814.0,3,45000.0,"Viman Nagar, "
72,1,Furnished,1,Immediately,447.0,8,20000.0,"EON Free Zone, Kharadi, "
73,2,Semi-Furnished,2,Immediately,1000.0,5,22000.0,"Karvenagar, "
74,4,Semi-Furnished,5,Immediately,2100.0,11,85000.0,"Bavdhan, "
75,2,Semi-Furnished,2,Immediately,650.0,6,28000.0,"Mahalunge, "
76,2,Semi-Furnished,2,Immediately,900.0,5,23000.0,"Ravet, Pimpri Chinchwad, "
77,2,Semi-Furnished,2,Immediately,778.0,4,38000.0,"Kalyani Nagar, "
78,3,Furnished,3,Immediately,1300.0,7,55000.0,"Koregaon Park, "
79,2,Furnished,2,Immediately,825.0,11,35000.0,"Wakad, "
80,2,Semi-Furnished,2,Immediately,825.0,4,26000.0,"Wakad, "
81,2,Semi-Furnished,2,Immediately,825.0,2,22000.0,"Pimpri Chinchwad, "
82,1,Semi-Furnished,2,Immediately,495.0,1,10500.0,"Undri, "
83,2,Unfurnished,2,Immediately,785.0,4,31999.0,"Balewadi, "
84,2,Furnished,2,Immediately,744.0,13,32000.0,"Wakad, "
85,2,Furnished,2,Immediately,850.0,5,23000.0,"NIBM Annexe Area, "
86,3,Semi-Furnished,3,Immediately,800.0,7,33999.0,"Keshav Nagar Mundhwa, "
87,2,Semi-Furnished,2,Immediately,805.0,3,20000.0,"Karve Road, "
88,1,Unfurnished,1,Immediately,489.0,2,14000.0,"Wagholi, "
89,3,Unfurnished,2,Immediately,1550.0,13,70000.0,"Balewadi, "
90,2,Unfurnished,2,Immediately,750.0,10,28000.0,"Hadapsar, "
91,3,Semi-Furnished,3,Immediately,961.0,19,32000.0,"Mahalunge, "
92,3,Unfurnished,3,Immediately,1180.0,4,32000.0,"Pimple Saudagar, Pimpri Chinchwad, "
93,2,Furnished,2,Immediately,799.0,32,45000.0,"Amanora Park Town, "
94,3,Semi-Furnished,3,Immediately,1120.0,11,35000.0,"Mahalunge, "
95,0,Semi-Furnished,1,Immediately,250.0,9,15000.0,"Studio Apartment for Rent in Wadgaon Sheri, "
96,3,Semi-Furnished,3,Immediately,1200.0,15,25000.0,"Katraj Kondhwa Road, "
97,3,Furnished,3,Immediately,1500.0,3,37000.0,"Baner, "
98,2,Semi-Furnished,2,Immediately,950.0,5,53000.0,"Kalyani Nagar, "
99,2,Semi-Furnished,2,Immediately,950.0,2,35000.0,"Koregaon Park, "
100,3,Semi-Furnished,3,Immediately,1200.0,3,43000.0,"Hadapsar, "
101,3,Semi-Furnished,3,Immediately,825.0,22,30000.0,"Hinjawadi, "
102,1,Unfurnished,1,Immediately,400.0,2,7800.0,"Hinjawadi, "
103,2,Unfurnished,2,Immediately,1150.0,5,41000.0,"Hadapsar, "
104,1,Semi-Furnished,1,Immediately,520.0,4,22000.0,"Narayan Peth, "
105,3,Furnished,3,Immediately,1400.0,5,60000.0,"Koregaon Park, "
106,1,Semi-Furnished,1,From Mar '25,450.0,10,21500.0,"Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, "
107,1,Unfurnished,1,Immediately,451.0,10,16500.0,"Hinjawadi, "
108,2,Semi-Furnished,2,Immediately,1050.0,4,40000.0,"Kharadi, "
109,3,Semi-Furnished,3,From Mar '25,1100.0,4,21000.0,"Undri, "
110,3,Semi-Furnished,3,Immediately,1350.0,14,35000.0,"Hills and Dales, "
111,2,Unfurnished,2,Immediately,852.0,3,35000.0,"Kothrud, "
112,2,Unfurnished,2,Immediately,950.0,5,35000.0,"Kharadi, "
113,2,Furnished,2,Immediately,700.0,2,23000.0,"Kiwale, Dehu Road, "
114,2,Semi-Furnished,2,Immediately,900.0,5,44000.0,"Baner Pashan Link Road, "
115,2,Furnished,2,Immediately,825.0,4,16000.0,"Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, "
116,2,Unfurnished,2,Immediately,900.0,7,24000.0,"Baner, "
117,2,Furnished,2,Immediately,900.0,3,32000.0,"Sangamvadi, "
118,2,Unfurnished,2,Immediately,900.0,16,20000.0,"Charholi BK, "
119,3,Unfurnished,3,Immediately,1200.0,4,55000.0,
120,1,Unfurnished,1,Immediately,510.0,5,19500.0,"Hinjawadi, "
121,2,Unfurnished,2,Immediately,880.0,5,25000.0,"Hinjawadi, "
122,2,Unfurnished,2,Immediately,825.0,9,35000.0,"Balewadi Phata, Baner, "
123,2,Unfurnished,2,Immediately,825.0,5,35000.0,"Bibwewadi, "
124,2,Unfurnished,2,Immediately,665.0,4,24000.0,"Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, "
125,3,Semi-Furnished,4,Immediately,825.0,12,28000.0,"Sus, "
126,2,Semi-Furnished,2,Immediately,800.0,4,42000.0,"Koregaon Park, "
127,3,Semi-Furnished,2,Immediately,1228.0,9,40000.0,"Tukaram Nagar Kharadi, "
128,2,Unfurnished,2,Immediately,850.0,7,27000.0,"Dorabjee Paradise, Mohammed Wadi, "
129,1,Furnished,1,Immediately,825.0,4,20000.0,
130,2,Furnished,2,Immediately,905.0,1,60000.0,"Bund Garden Road, "
131,2,Furnished,2,Immediately,825.0,7,43000.0,"Pimple Nilakh, Pimpri Chinchwad, "
132,3,Furnished,3,Immediately,825.0,2,100000.0,"Koregaon Park, "
133,2,Furnished,2,Immediately,700.0,3,25000.0,"Dhankawadi, "
134,1,Semi-Furnished,1,Immediately,550.0,1,16000.0,"Dattawadi, "
135,2,Unfurnished,2,Immediately,825.0,2,19000.0,"Lohegaon, "
136,2,Semi-Furnished,2,Immediately,825.0,6,25000.0,"Bavdhan, "
137,2,Unfurnished,2,Immediately,850.0,4,22000.0,"Lohegaon, "
138,2,Furnished,2,Immediately,940.0,9,28000.0,"Vishrantwadi, Airport Road, "
139,2,Unfurnished,2,Immediately,825.0,12,35000.0,"Balewadi, "
140,1,Unfurnished,1,Immediately,550.0,4,9000.0,"Ambegaon BK, "
141,3,Furnished,3,Immediately,1400.0,5,65000.0,"Koregaon Park, "
142,3,Semi-Furnished,3,Immediately,1300.0,2,67000.0,"Kalyani Nagar, "
143,1,Unfurnished,1,Immediately,600.0,10,12000.0,"Kondhwa, "
144,2,Furnished,2,Immediately,850.0,2,31000.0,"Kothrud, "
145,3,Furnished,3,Immediately,1650.0,5,51000.0,"Magarpatta, "
146,2,Unfurnished,2,Immediately,1255.0,15,40000.0,"Rakshak Nagar, Kharadi, "
147,2,Furnished,2,Immediately,850.0,8,27000.0,"Phase 3 Hinjewadi Rajiv Gandhi Infotech Park, "
148,1,Furnished,1,Immediately,460.0,5,29000.0,"Magarpatta, "
149,1,Unfurnished,1,Immediately,576.0,6,8000.0,"Talegaon Dabhade, "
150,2,Semi-Furnished,2,Immediately,800.0,8,29000.0,"Kalyani Nagar, "
151,2,Furnished,2,Immediately,950.0,9,45000.0,"EON Free Zone, Kharadi, "
152,2,Unfurnished,2,From Mar '25,700.0,3,23000.0,"Ravet, Pimpri Chinchwad, "
153,0,Semi-Furnished,1,Immediately,270.0,5,19000.0,"Studio Apartment for Rent in Kharadi, "
154,1,Furnished,1,Immediately,500.0,5,12000.0,"Ambegaon, "
155,1,Unfurnished,1,Immediately,450.0,5,14000.0,"Ambegaon BK, "
156,3,Furnished,2,Immediately,825.0,2,80000.0,"Mundhwa, "
157,2,Unfurnished,2,Immediately,825.0,5,13000.0,"Loni Kalbhor, "
158,3,Semi-Furnished,3,Immediately,1870.0,18,80000.0,"Vitthal Nagar Kharadi, "
159,3,Unfurnished,3,Immediately,1680.0,5,55000.0,"EON Free Zone, Kharadi, "
160,2,Furnished,2,Immediately,800.0,4,36000.0,"Baner, "
161,2,Unfurnished,2,From Mar '25,980.0,3,40000.0,"Kalyani Nagar, "
162,1,Semi-Furnished,1,Immediately,500.0,2,15000.0,"Sadashiv Peth, "
163,2,Unfurnished,2,Immediately,956.0,2,34000.0,"Hadapsar, "
164,3,Unfurnished,4,Immediately,825.0,2,75000.0,"Kalyani Nagar, "
165,2,Furnished,2,Immediately,1151.0,5,30000.0,"Pimple Saudagar, Pimpri Chinchwad, "
166,1,Unfurnished,1,Immediately,660.0,6,22000.0,"Wadgaon Sheri, "
167,2,Unfurnished,2,Immediately,725.0,12,18000.0,"Hadapsar, "
168,2,Unfurnished,2,Immediately,720.0,0,25000.0,"Mahalunge, "
169,2,Semi-Furnished,2,Immediately,960.0,7,43000.0,"EON Free Zone, Kharadi, "
170,1,Semi-Furnished,2,Immediately,550.0,4,17000.0,
171,3,Semi-Furnished,3,Immediately,825.0,3,65000.0,"Kalyani Nagar, "
172,2,Furnished,2,Immediately,880.0,5,35000.0,"Pimple Nilakh, Pimpri Chinchwad, "
173,2,Semi-Furnished,2,Immediately,900.0,8,19000.0,"Undri, "
174,2,Semi-Furnished,2,Immediately,1250.0,1,25000.0,"Pimple Saudagar Gaon, "
175,1,Unfurnished,1,Immediately,720.0,3,12000.0,"Morwadi, "
176,3,Unfurnished,3,Immediately,1200.0,4,42000.0,"Balewadi, "
177,1,Furnished,1,Immediately,500.0,7,25000.0,"Bavdhan, "
178,3,Semi-Furnished,2,Immediately,825.0,5,25000.0,"Lohegaon, "
179,2,Unfurnished,2,Immediately,825.0,12,12000.0,"Chakan, "
180,1,Semi-Furnished,1,Immediately,825.0,4,5000.0,"Chikali Road, "
181,2,Furnished,2,Immediately,750.0,8,32000.0,"Baner, "
182,1,Unfurnished,1,Immediately,447.0,8,15000.0,"EON Free Zone, Kharadi, "
183,2,Semi-Furnished,2,Immediately,1100.0,4,43000.0,"Balewadi, "
184,2,Unfurnished,1,Immediately,825.0,2,13000.0,"Moshi, "
185,2,Unfurnished,2,Immediately,825.0,6,19000.0,"NIBM Annexe Area, "
186,1,Unfurnished,1,Immediately,430.0,2,17000.0,"Ravet, Pimpri Chinchwad, "
187,3,Semi-Furnished,3,Immediately,1560.0,13,62000.0,"Balewadi, "
188,1,Unfurnished,2,Immediately,600.0,5,10000.0,"Katraj, "
189,2,Unfurnished,2,Immediately,850.0,3,23000.0,"Kothrud, "
190,4,Unfurnished,4,Immediately,2600.0,5,130000.0,"Baner, "
191,2,Semi-Furnished,2,Immediately,800.0,3,29000.0,"Viman Nagar, "
192,2,Semi-Furnished,2,From Mar '25,825.0,5,28000.0,"Pimple Saudagar, Pimpri Chinchwad, "
193,2,Semi-Furnished,2,Immediately,700.0,2,23000.0,"Warje, "
194,1,Unfurnished,1,Immediately,825.0,0,6000.0,"Varale Talegaon Dabhade, "
195,2,Semi-Furnished,2,From Mar '25,800.0,9,34000.0,"Wakad, "
196,2,Semi-Furnished,2,Immediately,825.0,6,27000.0,"Magarpatta, "
197,3,Unfurnished,2,Immediately,825.0,5,12000.0,"Chakan, "
198,3,Unfurnished,5,Immediately,2200.0,10,90000.0,"EON Free Zone, Kharadi, "
199,1,Furnished,1,Immediately,825.0,3,11000.0,"Khese Wasti, Lohegaon, "
200,3,Unfurnished,3,Immediately,1150.0,5,23000.0,"Wadgaon BK, "
201,2,Furnished,1,Immediately,850.0,6,39000.0,"Karvenagar, "
202,1,Semi-Furnished,1,Immediately,450.0,4,13000.0,"Hadapsar, "
203,2,Semi-Furnished,2,Immediately,800.0,2,26000.0,"Kothrud, "
204,3,Unfurnished,3,Immediately,1352.0,2,55000.0,"Mundhwa, "
205,3,Furnished,3,Immediately,1250.0,5,56000.0,"Magarpatta, "
206,3,Unfurnished,3,Immediately,825.0,9,35000.0,"Hinjawadi, "
207,2,Unfurnished,2,Immediately,985.0,11,43000.0,"Kharadi, "
208,2,Unfurnished,2,Immediately,721.0,10,30000.0,"Hinjawadi, "
209,1,Unfurnished,1,Immediately,400.0,0,5000.0,"Dhankawadi, "
210,1,Unfurnished,1,Immediately,440.0,5,20000.0,"Pimple Nilakh, Pimpri Chinchwad, "
211,2,Unfurnished,2,Immediately,700.0,8,27000.0,"Hinjawadi, "
212,2,Semi-Furnished,2,Immediately,700.0,3,16000.0,"Porwal Road, "
213,2,Furnished,2,Immediately,800.0,2,25000.0,"Baner, "
214,1,Unfurnished,1,Immediately,375.0,0,12000.0,"Guru Nanak Nagar, "
215,4,Furnished,4,Immediately,825.0,10,150000.0,"Magarpatta, "
216,1,Furnished,2,Immediately,625.0,1,14500.0,"Undri, "
217,1,Unfurnished,1,Immediately,825.0,1,7000.0,"Hadapsar, "
218,1,Furnished,1,Immediately,825.0,6,10000.0,"Pisoli, "
219,2,Furnished,2,Immediately,825.0,5,17000.0,"Moshi, "
220,2,Semi-Furnished,2,Immediately,980.0,5,40000.0,"Himali Society, Erandwane, "
221,2,Unfurnished,2,Immediately,750.0,5,26000.0,"Pimple Saudagar, Pimpri Chinchwad, "
222,1,Unfurnished,2,Immediately,500.0,10,25000.0,"Amanora Park Town, "
223,2,Unfurnished,2,Immediately,830.0,7,23000.0,"Hinjawadi, "
224,2,Unfurnished,2,Immediately,800.0,6,28000.0,"Baner, "
225,1,Furnished,1,Immediately,500.0,1,18000.0,"Viman Nagar, "
226,2,Unfurnished,2,Immediately,730.0,11,19000.0,"Hinjawadi, "
227,2,Unfurnished,2,Immediately,760.0,3,28000.0,"Wakad, "
228,1,Unfurnished,1,Immediately,750.0,13,20000.0,"Mahalunge, "
229,1,Unfurnished,2,Immediately,500.0,3,16000.0,"Sainath Nagar Wadgaon Sheri, "
230,4,Furnished,4,Immediately,1600.0,6,44000.0,"Wagholi, "
231,2,Unfurnished,2,Immediately,700.0,7,21000.0,"Hinjawadi, "
232,1,Unfurnished,1,Immediately,825.0,10,15000.0,"Punawale, Pimpri Chinchwad, "
233,3,Unfurnished,4,Immediately,1800.0,4,70000.0,"Baner Gaon, Baner, "
234,0,Semi-Furnished,1,Immediately,370.0,2,16000.0,"Studio Apartment for Rent in Pashan, "
235,2,Furnished,2,Immediately,750.0,4,25000.0,"Dhanori, "
236,3,Semi-Furnished,2,Immediately,825.0,9,45000.0,"Sus, "
237,3,Unfurnished,3,Immediately,1400.0,8,75000.0,"Balewadi, "
238,2,Furnished,2,Immediately,825.0,12,30000.0,"Wagholi, "
239,3,Unfurnished,3,Immediately,890.0,12,25000.0,"Manjri, Manjri Budruk, "
240,3,Furnished,3,Immediately,1300.0,3,40000.0,"Kaspate Wasti, "
241,2,Unfurnished,2,Immediately,760.0,6,23000.0,"Wagholi, "
242,2,Furnished,2,From Mar '25,1150.0,4,30000.0,"Salunkhe Vihar Society, "
243,3,Semi-Furnished,3,Immediately,825.0,1,20000.0,"Keshav Nagar Mundhwa, "
244,2,Unfurnished,2,Immediately,825.0,5,12000.0,"Shirgaon, "
