,Rooms,Furnishing,Bathroom,Tenant Preferred,Availability,Carpet Area,Floor,Price
0,"1 BHK Flat for Rent in Wagholi, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area584 sqft,Floor4 out of 10,"₹18,000"
1,"2 BHK Flat for Rent in Manjri, Manjri Budruk, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 12,"₹20,000"
2,"2 BHK Flat for Rent in Adarsh Colony Tingre Nagar, Pune",FurnishingFurnished,Bathroom2,,AvailabilityFrom Apr '25,Carpet Area900 sqft,Floor5 out of 5,"₹30,000"
3,"2 BHK Flat for Rent in Wagholi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area800 sqft,Floor5 out of 7,"₹28,000"
4,"2 BHK Flat for Rent in Aundh, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,,Floor1 out of 3,"₹25,000"
5,"2 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 11,"₹25,000"
6,"3 BHK Flat for Rent in Prabhat Road, Pune",FurnishingFurnished,Bathroom3,,AvailabilityImmediately,Carpet Area1100 sqft,Floor4 out of 5,₹2.3 Lac
7,"1 BHK Flat for Rent in Model Colony, Shivaji Nagar, Pune",FurnishingFurnished,Bathroom1,,AvailabilityImmediately,Carpet Area550 sqft,Floor2 out of 15,"₹10,000"
8,1 BHK Flat for Rent in Pune,FurnishingUnfurnished,Bathroom1,,AvailabilityFrom Mar '25,,Floor1 out of 3,"₹15,000"
9,"4 BHK Flat for Rent in Prabhat Road, Pune",FurnishingUnfurnished,Bathroom4,,AvailabilityImmediately,Carpet Area1825 sqft,Floor3 out of 6,₹1.6 Lac
10,"3 BHK Flat for Rent in Marunji, Hinjawadi, Pune",FurnishingSemi-Furnished,Bathroom2,,AvailabilityImmediately,Carpet Area950 sqft,Floor5 out of 8,"₹17,000"
11,"2 BHK Flat for Rent in Koregaon Park, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area900 sqft,Floor5 out of 6,"₹45,000"
12,"1 BHK Flat for Rent in Wakad, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor7 out of 20,"₹21,000"
13,"3 BHK Flat for Rent in Balewadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area1560 sqft,Floor13 out of 21,"₹62,000"
14,"1 BHK Flat for Rent in Ram Nagar Tathawade, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area495 sqft,Floor7 out of 11,"₹21,000"
15,"2 BHK Flat for Rent in Marunji, Hinjawadi, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor8 out of 8,"₹12,000"
16,"1 BHK Flat for Rent in Pimple Saudagar, Pimpri Chinchwad, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area600 sqft,Floor3 out of 4,"₹19,000"
17,"1 BHK Flat for Rent in Pashan, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area535 sqft,FloorUpper Basement out of 4,"₹15,500"
18,"1 BHK Flat for Rent in Kothrud, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,,Floor2 out of 3,"₹8,500"
19,"2 BHK Flat for Rent in Punawale, Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area700 sqft,Floor13 out of 13,"₹21,000"
20,"3 BHK Flat for Rent in Gahunje, Pune",FurnishingFurnished,Bathroom2,,AvailabilityImmediately,Carpet Area536 sqft,Floor1 out of 4,"₹10,000"
21,"2 BHK Flat for Rent in Wakad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,,Floor6 out of 9,"₹27,000"
22,"2 BHK Flat for Rent in Chikhali Pimpri Chinchwad, Pune",FurnishingUnfurnished,Bathroom2,,AvailabilityImmediately,Carpet Area603 sqft,Floor6 out of 7,"₹15,000"
23,"1 BHK Flat for Rent in Loni Kalbhor, Pune",FurnishingUnfurnished,Bathroom1,,AvailabilityImmediately,Carpet Area500 sqft,Floor10 out of 11,"₹12,500"
24,"1 BHK Flat for Rent in Kothrud, Pune",FurnishingSemi-Furnished,Bathroom1,,AvailabilityImmediately,Carpet Area450 sqft,Floor3 out of 3,"₹18,500"
